127.0.0.1 - - [29/Apr/2020:12:09:26 +0800] "GET / HTTP/1.1" 200 11216
0:0:0:0:0:0:0:1 - - [29/Apr/2020:12:10:53 +0800] "GET /jupiter/search?lat=37.38&lon=-122.08 HTTP/1.1" 200 2839
0:0:0:0:0:0:0:1 - - [29/Apr/2020:12:13:21 +0800] "POST /jupiter/history HTTP/1.1" 500 1270
0:0:0:0:0:0:0:1 - - [29/Apr/2020:12:20:40 +0800] "GET /jupiter HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Apr/2020:12:20:40 +0800] "GET /jupiter/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Apr/2020:12:26:12 +0800] "POST /jupiter/history HTTP/1.1" 500 1270
0:0:0:0:0:0:0:1 - - [29/Apr/2020:12:27:10 +0800] "POST /jupiter/history HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [29/Apr/2020:12:55:48 +0800] "DELETE /jupiter/history HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [29/Apr/2020:12:56:53 +0800] "DELETE /jupiter/history HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [29/Apr/2020:12:59:36 +0800] "POST /jupiter/history HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [29/Apr/2020:13:00:17 +0800] "POST /jupiter/history HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [29/Apr/2020:13:00:41 +0800] "DELETE /jupiter/history HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [29/Apr/2020:13:01:38 +0800] "GET /jupiter/history?user_id=1111 HTTP/1.1" 200 461
0:0:0:0:0:0:0:1 - - [29/Apr/2020:13:05:04 +0800] "POST /jupiter/history HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [29/Apr/2020:13:05:16 +0800] "GET /jupiter/history?user_id=1111 HTTP/1.1" 200 962
0:0:0:0:0:0:0:1 - - [29/Apr/2020:13:06:14 +0800] "DELETE /jupiter/history HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [29/Apr/2020:13:06:26 +0800] "GET /jupiter/history?user_id=1111 HTTP/1.1" 200 461
