127.0.0.1 - - [01/May/2020:11:10:39 +0800] "GET / HTTP/1.1" 200 11216
0:0:0:0:0:0:0:1 - - [01/May/2020:11:10:55 +0800] "POST /jupiter/login HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [01/May/2020:11:11:01 +0800] "POST /jupiter/register HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [01/May/2020:11:11:04 +0800] "GET /jupiter/logout HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [01/May/2020:11:31:36 +0800] "POST /jupiter/login HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [01/May/2020:11:32:59 +0800] "POST /jupiter/login HTTP/1.1" 401 31
0:0:0:0:0:0:0:1 - - [01/May/2020:11:33:19 +0800] "POST /jupiter/login HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [01/May/2020:11:43:34 +0800] "POST /jupiter/register HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [01/May/2020:11:47:36 +0800] "POST /jupiter/login HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [01/May/2020:11:48:07 +0800] "GET /jupiter/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2020:11:48:07 +0800] "GET /jupiter/index.html HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [01/May/2020:11:55:35 +0800] "GET /jupiter/search?lat=37.38&lon=-122.08&user_id=1111 HTTP/1.1" 403 -
0:0:0:0:0:0:0:1 - - [01/May/2020:11:56:19 +0800] "POST /jupiter/login HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [01/May/2020:11:56:40 +0800] "GET /jupiter/search?lat=37.38&lon=-122.08&user_id=1111 HTTP/1.1" 200 2838
